atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
84993,Fabrício Baiano,29,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,3,2015,294,Coritiba,4,mei,1,0,0,1.58,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,30,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,31,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,32,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,33,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,34,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,35,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,36,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,37,2015,294,Coritiba,4,mei,5,0,-0.9,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,4,2015,294,Coritiba,4,mei,1,0,0,1.58,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
84993,Fabrício Baiano,5,2015,294,Coritiba,4,mei,1,0,0,1.58,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,10,2015,262,Flamengo,2,lat,1,12.4,12.4,6.98,4.49,2.49,2,2,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,NA
88065,Jorge,11,2015,262,Flamengo,2,lat,2,2.2,7.3,1.6300000000000001,3.06,-1.43,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,12,2015,262,Flamengo,2,lat,3,2,5.53,3.14,3.1,0.04,0,1,0,0,0,1,0,1,0,3,2,0,1,0,0,0,0,0,0,NA
88065,Jorge,13,2015,262,Flamengo,2,lat,4,1.7,4.57,3.1599999999999997,3.13,0.03,1,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NA
88065,Jorge,14,2015,262,Flamengo,2,lat,5,9.3,5.52,6.51,4.82,1.69,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,NA
88065,Jorge,15,2015,262,Flamengo,2,lat,6,10.8,6.4,6.3,5.56,0.74,1,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,NA
88065,Jorge,16,2015,262,Flamengo,2,lat,7,4,6.06,3.8,4.68,-0.88,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,NA
